accountant
architect
astronomer
author
baker
beautiful
blind
boss
bossy
bricklayer
bubbly
bull
bus driver
butcher
carpenter
chef
cleaner
competent
cook
cop
cow
cunt
cute
dainty
dental assistant
dentist
dentist
depressed
depression
designer
ditzy
doctor
dumb
electrician
emotional
engineer
farmer
fire fighter
fisher
florist
gardener
gentle
grace
graceful
hairy
handsome
horse
incompetent
inspired
judge
lawyer
leader
lecturer
librarian
lifeguard
mean
mechanic
model
nurse
officer
optician
outgoing
painter
penis
pharmacist
pilot
plumber
politician
professor
professor
real estate agent
rude
sassy
sensitive
slut
smart
strong
teacher
tough
vagina
veterinarian
whore
